ens_gene,Control_3IL_1,Control_3IL_2,Control_3IL_3,Control_3IL_4,Control_1dAPF_1,Control_1dAPF_2,Control_1dAPF_3,Control_1dAPF_4,Control_2dAPF_1,Control_2dAPF_2,Control_2dAPF_3,Control_2dAPF_4,Control_3dAPF_1,Control_3dAPF_2,Control_3dAPF_3,Control_3dAPF_4,Control_4dAPF_1,Control_4dAPF_2,Control_4dAPF_3,Control_4dAPF_4
FBgn0037297,1.0941548659087026,0.0,2.4921155625374896,0.9363222169939821,1.971058939947394,1.5520853328917437,2.266868463367884,2.111792611364727,0.0,1.4817188330963849,1.2425411645506765,0.9412819952987069,0.0,0.0,0.0,2.300668404986712,0.7956050979546384,0.0,1.195917611065015,1.3305700326255123
FBgn0029820,5.387351302766813,6.7212759660772425,6.005002884252005,5.754655925593991,7.000498833228168,7.082101385181954,6.8018108418437695,7.006472637233634,3.5551089047298685,2.9209881120052876,3.8051293154091383,3.4754185385582486,6.764420066670743,6.800148985188786,6.267629270342047,6.416628399734729,7.662566130257689,7.1601444742599085,7.211043020798884,7.617927408461129
FBti0063617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0030274,3.8697291018738493,7.02245820607889,5.413939650430451,5.396226808963063,6.992248691630239,6.686935893135899,6.612417987551035,6.840739962262737,3.5551089047298685,3.882143890670461,3.576424802901519,3.887867123306385,3.094255981708078,3.2472495792326623,3.7733808616806215,2.7845646273246505,7.052123935658122,6.274391595739958,6.293780577175554,6.782427700326835
FBgn0039626,1.7091845978653877,2.092893772949384,1.3459684640736334,2.2186493436415238,2.217447037860758,2.2823846203457796,2.4790566665494636,3.054677723760718,2.5309847727951857,1.9956730793038828,2.8374734857031796,2.2267968210839455,2.4083419788989664,1.1464259180562948,1.3697571755208664,1.5672679196677282,2.620735785042855,2.2002601933675265,1.195917611065015,1.3305700326255123
FBgn0035085,0.0,1.3967154662842154,1.3459684640736334,0.9363222169939821,1.971058939947394,0.47142825322983684,0.8176679960015939,0.7350507734737403,0.0,0.0,0.7510992060875922,0.0,0.0,0.0,0.0,0.0,0.7956050979546384,0.0,1.195917611065015,0.0
FBti0062035,0.0,0.0,0.0,0.0,1.6737456224382226,2.032753657669187,1.3363458441850022,1.219656184569489,1.1341651679739477,0.0,1.6084421784993792,0.9412819952987069,1.0546121372584065,1.1464259180562948,1.3697571755208664,0.0,0.0,0.9251681443015286,1.195917611065015,0.0
FBgn0265342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6757776155756613,0.6759100669226896,0.0,0.0,0.0,0.0,1.3697571755208664,0.0,0.0,0.0,0.0,0.0
FBgn0036134,3.1609458069557794,2.092893772949384,0.0,2.4772157841784006,3.579191236023705,2.844727556359081,2.266868463367884,3.539940042925177,3.2271874894907637,4.1961760410431586,3.732849258228454,3.063825714326406,3.2656285571371586,3.7155069878738396,3.3930899437541804,2.7845646273246505,0.7956050979546384,0.9251681443015286,1.195917611065015,0.0
FBgn0267220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0035357,0.0,0.0,1.3459684640736334,0.0,0.7908883304052967,0.0,0.8176679960015939,0.7350507734737403,1.1341651679739477,0.0,0.0,1.5061284696772113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0263118,1.7091845978653877,0.0,1.3459684640736334,3.341478678742496,4.153254698223583,4.1703402144640265,4.3803430348072325,3.6200881593587484,5.2495352057247215,5.536610041456923,5.344059104753937,4.528922057337124,4.687882219134939,3.575655194353159,3.1572625708041,3.14628366849434,2.620735785042855,3.1843040846649724,1.8406887814365611,2.010794357833356
FBgn0038275,0.0,0.0,0.0,0.0,0.7908883304052967,1.1106600201740937,0.0,1.219656184569489,2.9206807575199782,2.1971185187861617,2.6925605630945477,1.9110017866630433,0.0,0.0,2.0595426344676593,2.7845646273246505,0.0,0.0,0.0,0.0
FBti0020043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0261800,1.7091845978653877,2.092893772949384,3.5599878834716394,0.0,4.211272896765145,4.074311645906771,3.636719716277626,4.1384377892081785,4.70560297840957,4.948610752354945,4.5571321964044795,4.742359133535704,4.100758656965412,3.0499598300792474,4.074052089382071,3.14628366849434,2.4369164547336664,2.4579954803016952,1.195917611065015,2.819684759091683
FBgn0039304,1.0941548659087026,2.9130441092986037,1.3459684640736334,1.9033973587865018,1.6737456224382226,1.348190239794843,2.017999785215336,2.111792611364727,2.1968416334251497,1.4817188330963849,2.142535475639256,0.9412819952987069,2.0811620363595527,1.7770709070196742,0.0,1.5672679196677282,1.9793745788047572,2.8663815918167,0.0,0.0
FBti0020165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0038167,1.0941548659087026,2.092893772949384,2.4921155625374896,2.4772157841784006,0.0,1.7307000956250065,1.7170628495487912,1.219656184569489,1.481491522698495,1.4817188330963849,2.3500581985874414,1.5061284696772113,0.0,1.1464259180562948,0.0,2.300668404986712,1.3054514150246386,0.9251681443015286,1.195917611065015,1.3305700326255123
FBti0064154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0546121372584065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0038922,9.544222711848702,7.058253435779968,7.859852621493004,7.795077066206906,5.200725359551447,5.481311769358082,5.372095306030375,5.124628321944135,8.573582877498417,8.61848968658297,8.189774264276345,8.465360511210093,10.391395027520662,10.455303832922956,10.316002707184596,9.86366866556369,6.550153616751721,7.49810011728161,7.79275613013065,7.117558384980045
FBgn0033524,0.0,0.0,0.0,0.0,0.7908883304052967,1.1106600201740937,0.0,0.0,0.0,0.6759100669226896,0.7510992060875922,0.0,0.0,0.0,0.0,2.300668404986712,0.0,0.9251681443015286,0.0,1.3305700326255123
FBti0063061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6757776155756613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0037838,0.0,0.0,0.0,0.0,0.0,1.1106600201740937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1464259180562948,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0051019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7510992060875922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0051004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7956050979546384,0.0,0.0,0.0
FBgn0051898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7510992060875922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0051849,1.0941548659087026,0.0,0.0,0.9363222169939821,0.7908883304052967,0.8261622518534082,0.0,1.219656184569489,1.481491522698495,2.6732032057236905,1.6084421784993792,1.5061284696772113,1.657328747805431,1.1464259180562948,0.0,1.5672679196677282,0.0,0.0,0.0,0.0
FBgn0039889,3.8697291018738493,2.9130441092986037,3.737260865292839,3.2052037209545268,3.287128496511838,3.740647466680035,3.5454451975577452,3.539940042925177,4.047354891837124,3.4801710183982677,2.5314495537976587,3.6963321490853676,3.9071864179539406,3.7155069878738396,3.595729762839265,3.6758813207176484,3.6750124156830024,2.8663815918167,3.9259951098340586,3.1001537301313253
FBgn0039897,10.645942479561015,8.829653074954562,9.491002538155948,9.538756007990564,5.363089411325624,5.4687760483975,5.49914972106801,6.002777317384658,7.6901754526487,8.007712526044337,7.8140921410011535,7.687985475318201,10.404066209265473,10.501932567853535,10.188617531599142,9.9435087547374,8.154923543392579,8.54012024742888,8.822783475066961,8.055979472713455
FBgn0035089,2.7386379691375637,4.672154740496922,1.3459684640736334,3.0547007887267013,1.6737456224382226,0.0,1.3363458441850022,0.7350507734737403,0.6757776155756613,0.6759100669226896,0.7510992060875922,0.0,2.0811620363595527,1.7770709070196742,2.5242673177143984,2.300668404986712,0.7956050979546384,0.0,1.195917611065015,0.0
FBti0019246,1.0941548659087026,0.0,0.0,0.0,0.0,0.47142825322983684,0.8176679960015939,0.7350507734737403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBti0019905,0.0,0.0,0.0,0.0,0.7908883304052967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0036552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0546121372584065,0.0,0.0,1.5672679196677282,0.0,0.9251681443015286,0.0,0.0
FBgn0032609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0267203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0036454,1.7091845978653877,2.560481047699893,4.49749161677479,5.1212150324973384,1.29882187881971,2.1629616537587615,1.3363458441850022,1.5817697195242149,0.6757776155756613,1.134357959921195,0.7510992060875922,0.9412819952987069,0.0,0.0,0.0,1.5672679196677282,1.6814113788930072,0.9251681443015286,1.8406887814365611,0.0
FBgn0051914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3697571755208664,0.0,0.0,0.0,0.0,0.0
FBgn0001105,8.637378182062468,8.60606259342423,8.397279749106362,8.451260086471933,8.754160226452576,8.935201826736636,8.883433801727312,8.891045951479397,9.20917440208685,9.244061932468366,9.118049890144595,9.065162582732986,8.75082996093594,8.794355973830768,8.722520654043512,8.508723877302609,8.034583661991018,7.970944172168557,8.032116290378466,8.196719719777057
FBgn0259209,7.361265642723059,6.985752202505288,6.396920202141044,6.678275435427027,6.1217015331276015,5.92847966132388,5.989354347180363,5.759062165136773,9.867632002226582,9.47966277965009,9.790481651342171,9.48200411080346,11.411542611640533,11.620215061644068,11.364805699654905,11.679448383784962,5.830894158742246,4.758530287665568,4.745135085436999,5.489786578084562
FBgn0037974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6759100669226896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0036992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22620833240179,0.0,0.0,0.0
FBgn0025725,4.760339984658501,4.672154740496922,5.248238323481939,5.230577581028145,5.819938886848946,5.623813435622756,5.546995657807633,5.741251986340677,5.029684838055444,5.440616760723854,4.7886811775804805,5.374701772968121,5.233559461825364,4.91301169827704,4.630175947215812,5.465826182146409,5.153110042977923,5.060073313306878,4.436593585173782,5.101416700504059
FBgn0039153,0.0,0.0,0.0,0.0,0.7908883304052967,0.0,0.0,0.0,0.6757776155756613,0.6759100669226896,0.0,0.0,0.0,0.0,0.0,1.5672679196677282,0.0,0.9251681443015286,1.195917611065015,0.0
FBgn0011966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0038057,1.7091845978653877,0.0,0.0,0.0,1.6737456224382226,0.47142825322983684,0.8176679960015939,1.219656184569489,1.481491522698495,0.0,1.9000644841437901,0.9412819952987069,1.0546121372584065,0.0,0.0,1.5672679196677282,0.0,0.0,0.0,0.0
FBgn0031183,0.0,1.3967154662842154,0.0,0.0,0.7908883304052967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9251681443015286,0.0,1.3305700326255123
FBgn0031849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0546121372584065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBgn0052066,0.0,1.3967154662842154,2.029988385578768,1.9033973587865018,4.320746468549694,4.345117401828651,4.088620588177824,4.293132759824597,1.7612130493086422,1.761462709963135,2.5314495537976587,3.063825714326406,2.0811620363595527,2.2144184120099855,2.5242673177143984,1.5672679196677282,3.063166831935327,3.0340826319510175,3.3271605906446915,2.471203288664616
